timestamp_utc,repo_git_sha,pdk_open_pdks_commit,corner,temp_c,device,w_um,l_um,vgs_v,vds_v,vbs_v,ileak_a,ngspice_version,notes
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,tt,-40,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.810052e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,tt,27,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.845210e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,tt,125,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.152052e-11,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,ss,-40,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.810001e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,ss,27,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.810556e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,ss,125,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,2.250910e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,ff,-40,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.811088e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,ff,27,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,2.215140e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,ff,125,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,6.625805e-11,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,sf,-40,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.812524e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,sf,27,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,2.554904e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,sf,125,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,9.898880e-11,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,fs,-40,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.810001e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,fs,27,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,1.811641e-12,** ngspice-47 : Circuit level simulation program,
2026-08-20T21:10:17+00:00,fe7b7ba,c6d73a35f524070e85faff4a6a9eef49553ebc2b,fs,125,sky130_fd_pr__nfet_01v8,0.42,0.15,0.0,1.8,0.0,2.762561e-12,** ngspice-47 : Circuit level simulation program,
